
mm/dd,2018:LWG:tempc (C),2017:LWG:tempc (C),2016:LWG:tempc (C),2015:LWG:tempc (C),2014:LWG:tempc (C),2013:LWG:tempc (C),2012:LWG:tempc (C),2011:LWG:tempc (C),2010:LWG:tempc (C),2009:LWG:tempc (C),2008:LWG:tempc (C),2007:LWG:tempc (C),2006:LWG:tempc (C),2005:LWG:tempc (C),2004:LWG:tempc (C)
1/1,NA,NA,4.227,4.726,NA,NA,NA,NA,NA,NA,NA,NA,4.071,4.174,4.366
1/2,NA,NA,4.103,4.435,NA,NA,NA,NA,NA,NA,NA,NA,4.458,3.930,4.363
1/3,NA,NA,3.930,4.178,NA,NA,NA,NA,NA,NA,NA,NA,4.529,3.750,4.294
1/4,NA,NA,3.417,3.994,NA,NA,NA,NA,NA,NA,NA,NA,4.651,3.678,4.086
1/5,NA,NA,3.367,3.751,NA,NA,NA,NA,NA,NA,NA,NA,4.792,3.550,3.634
1/6,NA,NA,3.244,3.408,NA,NA,NA,NA,NA,NA,NA,NA,4.898,3.426,3.219
1/7,NA,NA,3.176,2.951,NA,NA,NA,NA,NA,NA,NA,NA,4.790,3.365,2.715
1/8,NA,NA,3.028,2.791,NA,NA,NA,NA,NA,NA,NA,NA,4.679,3.387,2.478
1/9,NA,NA,3.034,2.709,NA,NA,NA,NA,NA,NA,NA,NA,4.629,3.413,2.311
1/10,NA,NA,2.942,2.915,NA,NA,NA,NA,NA,NA,NA,NA,4.643,3.452,1.962
1/11,NA,NA,2.423,2.941,NA,NA,NA,NA,NA,NA,NA,NA,4.657,3.408,1.653
1/12,NA,NA,2.958,2.967,NA,NA,NA,NA,NA,NA,NA,NA,4.566,3.301,1.595
1/13,NA,NA,3.357,3.076,NA,NA,NA,NA,NA,NA,NA,NA,4.368,3.228,1.563
1/14,NA,NA,3.702,3.133,NA,NA,NA,NA,NA,NA,NA,NA,4.205,3.074,1.828
1/15,NA,NA,3.649,3.259,NA,NA,NA,NA,NA,NA,NA,NA,3.973,3.028,1.669
1/16,NA,NA,3.728,3.560,NA,NA,NA,NA,NA,NA,NA,NA,3.798,2.774,2.004
1/17,NA,NA,3.709,3.698,NA,NA,NA,NA,NA,NA,NA,NA,3.715,2.801,2.589
1/18,NA,NA,3.632,3.928,NA,NA,NA,NA,NA,NA,NA,NA,3.737,2.882,2.971
1/19,NA,NA,3.634,4.176,NA,NA,NA,NA,NA,NA,NA,NA,3.810,3.009,2.904
1/20,NA,NA,3.603,4.220,NA,NA,NA,NA,NA,NA,NA,NA,3.870,3.111,3.242
1/21,NA,NA,3.944,4.207,NA,NA,NA,NA,NA,NA,NA,NA,3.752,3.310,3.312
1/22,NA,NA,3.992,4.208,NA,NA,NA,NA,NA,NA,NA,NA,3.606,3.488,3.376
1/23,NA,NA,4.134,4.207,NA,NA,NA,NA,NA,NA,NA,NA,3.561,3.588,3.383
1/24,NA,NA,4.239,4.280,NA,NA,NA,NA,NA,NA,NA,NA,3.599,3.833,3.415
1/25,NA,NA,4.303,4.345,NA,NA,NA,NA,NA,NA,NA,NA,3.546,3.913,3.498
1/26,NA,NA,4.259,4.387,NA,NA,NA,NA,NA,NA,NA,NA,3.371,3.935,3.553
1/27,NA,NA,4.271,4.278,NA,NA,NA,NA,NA,NA,NA,NA,3.250,4.155,3.616
1/28,NA,NA,4.279,4.177,NA,NA,NA,NA,NA,NA,NA,NA,3.162,4.300,3.812
1/29,NA,NA,4.233,4.362,NA,NA,NA,NA,NA,NA,NA,NA,3.076,4.383,3.993
1/30,NA,NA,4.229,4.837,NA,2.529,NA,NA,NA,NA,NA,NA,3.078,4.416,3.997
1/31,NA,NA,4.183,4.891,NA,2.647,NA,NA,NA,NA,NA,NA,3.185,4.112,3.844
2/1,NA,NA,4.110,4.698,NA,2.903,NA,NA,NA,NA,NA,NA,3.340,4.100,3.669
2/2,NA,NA,4.059,4.522,NA,NA,NA,NA,NA,NA,NA,NA,3.520,4.150,3.740
2/3,NA,NA,4.130,4.459,NA,NA,NA,NA,NA,NA,NA,NA,3.730,4.264,3.918
