
mm/dd,2003:LWG:tempc (C),2002:LWG:tempc (C),2001:LWG:tempc (C),2000:LWG:tempc (C),1999:LWG:tempc (C),1998:LWG:tempc (C),1997:LWG:tempc (C),1996:LWG:tempc (C),1995:LWG:tempc (C),1994:LWG:tempc (C),1993:LWG:tempc (C)
1/1,4.628,4.126,3.480,4.796,4.025,11.163,NA,NA,NA,1.646,1.217
1/2,4.586,3.994,3.618,4.633,3.725,11.267,NA,NA,NA,1.646,1.871
1/3,4.583,3.785,3.720,4.392,3.788,12.663,NA,NA,NA,2.033,1.842
1/4,4.651,3.490,3.697,4.171,3.646,13.538,NA,NA,NA,2.325,1.671
1/5,4.648,3.568,3.688,3.908,3.662,13.204,NA,NA,NA,1.917,1.246
1/6,4.560,3.534,3.590,3.792,3.700,11.892,NA,NA,NA,1.646,1.200
1/7,4.561,3.777,3.455,3.446,3.683,11.858,NA,NA,NA,1.513,1.563
1/8,4.563,3.960,3.260,3.250,3.450,12.663,NA,NA,NA,1.671,1.992
1/9,4.616,4.086,3.279,3.233,3.387,13.833,NA,NA,NA,1.871,1.908
1/10,4.542,4.353,3.241,3.300,3.700,12.379,NA,NA,NA,1.763,1.196
1/11,4.407,4.539,3.230,3.412,3.967,10.283,NA,NA,NA,1.758,1.825
1/12,4.409,4.663,3.125,3.492,4.158,10.242,NA,NA,NA,1.942,1.321
1/13,4.666,4.747,3.141,3.663,4.121,9.975,NA,NA,NA,1.900,1.208
1/14,4.857,5.750,3.103,3.879,3.942,13.513,NA,NA,NA,2.238,1.608
1/15,4.728,4.700,3.194,3.758,3.674,12.846,NA,NA,NA,2.171,1.938
1/16,4.594,4.339,3.062,3.850,3.600,11.988,NA,NA,NA,2.075,0.933
1/17,4.374,4.378,2.831,3.913,3.679,11.142,NA,NA,NA,1.658,1.704
1/18,4.095,4.337,2.733,3.900,3.771,12.204,NA,NA,NA,1.571,2.158
1/19,3.875,4.317,2.780,3.950,3.671,13.392,NA,NA,NA,1.546,2.088
1/20,3.878,4.290,2.847,4.121,3.571,12.925,NA,NA,NA,1.613,2.771
1/21,3.941,4.160,2.992,4.117,3.500,12.742,NA,NA,NA,1.492,3.554
1/22,4.000,4.000,3.085,4.083,3.571,11.952,NA,NA,NA,1.871,2.533
1/23,4.274,3.662,3.113,3.963,3.783,11.541,NA,NA,NA,1.829,2.450
1/24,4.339,3.788,3.083,3.892,3.779,NA,NA,NA,NA,1.821,2.825
1/25,4.348,3.648,3.041,3.808,3.667,NA,NA,NA,NA,1.725,2.358
1/26,4.374,3.622,3.052,3.833,3.525,NA,NA,NA,NA,1.704,3.625
