
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
1/1,NA,3.889,5.556,6.667,NA,NA,NA,NA,NA,NA,NA,NA,4.431,6.002,5.039,6.734,5.577,4.530,5.927,5.008,6.171,4.042,6.679,NA,5.556,NA
1/2,NA,4.444,5.000,6.111,NA,NA,NA,NA,NA,NA,NA,NA,4.525,5.961,4.949,6.682,5.613,4.446,5.859,4.742,5.942,3.967,8.762,NA,6.111,5.556
1/3,NA,4.444,4.444,5.556,NA,NA,NA,NA,NA,NA,NA,NA,4.604,5.734,4.849,6.694,5.687,4.388,5.779,4.541,5.683,3.896,8.879,NA,6.667,5.556
1/4,NA,3.889,4.444,5.556,NA,NA,NA,NA,NA,NA,NA,NA,4.710,5.414,4.347,6.732,5.780,4.457,5.768,4.511,5.458,3.700,6.475,NA,6.667,5.556
1/5,NA,3.889,4.444,5.556,NA,NA,NA,NA,NA,NA,NA,NA,4.815,5.060,3.466,6.673,5.640,4.504,5.707,4.695,5.408,3.592,3.496,NA,6.667,5.556
1/6,NA,3.889,3.889,5.556,NA,NA,NA,NA,NA,NA,NA,NA,4.929,5.008,2.875,6.486,5.326,NA,5.567,4.930,5.450,3.350,2.525,NA,6.667,5.556
1/7,NA,3.333,3.889,5.556,NA,NA,NA,NA,NA,NA,NA,NA,5.118,4.998,2.559,6.203,5.545,NA,5.508,5.185,5.533,3.571,3.283,NA,6.667,5.000
1/8,NA,2.778,3.889,5.000,NA,NA,NA,NA,NA,NA,NA,NA,5.251,4.807,2.580,6.060,5.666,4.407,5.482,5.285,5.504,3.956,4.875,NA,7.778,NA
1/9,NA,2.778,3.889,5.000,NA,NA,NA,NA,NA,NA,NA,NA,5.305,4.722,2.527,5.931,5.733,4.519,5.454,5.211,5.329,4.263,NA,NA,6.667,NA
1/10,NA,2.222,3.889,5.000,NA,NA,NA,NA,NA,NA,NA,NA,5.484,4.577,2.610,5.779,5.566,4.430,5.321,5.234,5.246,4.383,NA,NA,6.667,NA
1/11,NA,2.222,3.333,5.000,NA,NA,NA,NA,NA,NA,NA,NA,5.633,4.387,2.643,5.685,5.561,4.432,5.162,5.276,4.617,4.575,NA,NA,NA,NA
1/12,NA,2.222,3.333,5.000,NA,NA,NA,NA,NA,NA,NA,NA,5.442,4.388,2.584,5.711,5.528,4.555,5.032,5.238,3.858,4.275,NA,NA,NA,NA
1/13,NA,NA,3.333,4.444,NA,NA,NA,NA,NA,NA,NA,NA,5.295,4.458,2.559,5.824,5.478,4.686,4.940,5.189,3.729,3.858,NA,NA,NA,NA
1/14,NA,1.667,3.333,4.444,NA,NA,NA,NA,NA,NA,NA,NA,5.191,4.154,2.437,5.947,5.533,4.789,4.940,5.169,3.946,3.408,NA,NA,NA,NA
1/15,NA,1.111,3.333,4.444,NA,NA,NA,NA,NA,NA,NA,NA,5.078,3.446,2.360,6.026,5.511,4.834,4.973,5.273,4.158,3.238,NA,NA,NA,1.667
1/16,NA,0.556,3.333,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.978,2.891,2.319,6.065,5.418,4.750,4.846,5.317,4.146,2.979,NA,NA,6.667,1.667
1/17,NA,0.556,3.333,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.876,2.787,2.278,6.052,5.425,4.578,NA,5.331,4.329,2.938,NA,NA,6.667,1.667
1/18,NA,0.556,3.333,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.944,2.852,2.234,5.927,5.518,4.515,4.815,5.163,4.417,3.146,NA,NA,NA,1.667
1/19,NA,0.556,3.333,4.444,NA,NA,NA,NA,NA,NA,NA,NA,5.092,3.165,2.221,5.843,5.620,4.469,4.735,5.296,4.317,3.238,NA,NA,6.667,1.111
1/20,NA,0.556,3.889,4.444,NA,NA,NA,NA,NA,NA,NA,NA,5.170,3.335,2.194,5.787,5.664,4.468,4.601,5.369,4.200,3.154,NA,NA,6.667,1.111
1/21,NA,0.556,3.889,4.444,NA,NA,NA,NA,NA,NA,NA,NA,5.208,3.445,2.235,5.676,5.727,4.438,4.559,5.391,3.950,3.017,NA,NA,6.667,1.111
1/22,NA,NA,3.889,4.444,NA,NA,NA,NA,NA,NA,NA,NA,5.205,3.624,2.273,5.541,5.698,4.468,4.513,5.384,3.804,2.921,NA,NA,6.667,1.111
